,Station no.,Resource Type,Quantity deployed,Facility
0,s200,c,34.111111111111114,Current
1,s200,i,62.714285714285715,Current
2,s300,c,11.5,Current
3,s300,i,79.0,Current
4,s6,c,31.25,Current
5,s6,i,47.0,Current
6,s9,c,70.5,Current
7,s9,i,22.0,Current
8,s9,m,20.0,Current
0,s1,c,70.5,Proposed
1,s1,i,13.0,Proposed
2,s1,m,35.142857142857146,Proposed
3,s11,c,66.16666666666667,Proposed
4,s11,i,59.5,Proposed
5,s12,c,54.125,Proposed
6,s12,i,50.333333333333336,Proposed
7,s12,m,31.0,Proposed
8,s19,c,46.142857142857146,Proposed
9,s19,i,67.0,Proposed
10,s5,c,37.75,Proposed
11,s5,i,52.0,Proposed
12,s5,m,24.333333333333332,Proposed
