,Unnamed: 0,Spill #,Coordinates,Spill size,Spill Size Type,Resource needed,1st Ranking,Skimmer,Dispersant,Burning materials
20,,o21,"(61.09720726830651, -115.372447561338)",730,Small,36.5,ISB,0,0,7
7,,o8,"(75.56344329900006, -79.39089303999998)",5460,Large,273.0,ISB,0,0,257
66,,o67,"(64.25104027351942, -95.86234765973384)",1300,Small,65.0,ISB,0,0,7
93,,o94,"(67.56401598135764, -62.579477186699386)",7770,Large,388.5,ISB,0,0,257
107,,o108,"(74.13041980846197, -87.60536813220666)",250,Small,12.5,ISB,0,0,7
51,,o52,"(65.41332188088147, -83.14953750470904)",5720,Large,286.0,ISB,0,0,257
134,,o135,"(69.22765564655587, -94.64195473794307)",3330,Large,166.5,MCR,54,0,0
192,,o193,"(62.185464677435625, -121.02513524883052)",8380,Large,419.0,MCR,54,0,0
100,,o101,"(73.50664632584939, -84.9442531960175)",8370,Large,418.5,ISB,0,0,257
132,,o133,"(68.72025863807426, -95.29801010979064)",2460,Medium,123.0,MCR,32,0,0
128,,o129,"(69.29654090896803, -81.60262809346669)",8910,Large,445.5,CDU,0,800,0
0,,o1,"(63.31720065616187, -90.65327442130385)",20000,ExtLarge,1000.0,CDU,0,1400,0
31,,o32,"(70.63114828207598, -158.272597974529)",5430,Large,271.5,ISB,0,0,257
161,,o162,"(69.47676593300005, -117.55508288599998)",3230,Large,161.5,ISB,0,0,257
24,,o25,"(69.62626467075341, -138.8750452576395)",8980,Large,449.0,MCR,54,0,0
135,,o136,"(69.03035256138071, -94.82276525307002)",1840,Medium,92.0,MCR,32,0,0
117,,o118,"(77.6400001381179, -88.78879612162706)",7250,Large,362.5,ISB,0,0,257
177,,o178,"(69.45553911240434, -123.85642478117892)",6160,Large,308.0,MCR,54,0,0
178,,o179,"(69.57814395413881, -123.63714273588194)",5520,Large,276.0,ISB,0,0,257
121,,o122,"(76.5737164359083, -89.68934613747211)",2160,Medium,108.0,MCR,32,0,0
8,,o9,"(75.5635711076492, -79.39084494539506)",8020,Large,401.0,MCR,54,0,0
67,,o68,"(64.17368927156971, -95.39797114837724)",9690,Large,484.5,ISB,0,0,257
202,,o203,"(65.38888826422587, -65.95218121659215)",5190,Large,259.5,ISB,0,0,257
186,,o187,"(69.53712126783223, -133.21758183905516)",5620,Large,281.0,ISB,0,0,257
148,,o149,"(66.97133695259294, -107.84159248669971)",590,Small,29.5,MCR,24,0,0
57,,o58,"(62.049856834373855, -91.91717874147915)",6540,Large,327.0,ISB,0,0,257
50,,o51,"(73.86176323396033, -82.00161497450132)",3980,Large,199.0,MCR,54,0,0
126,,o127,"(69.34861658538865, -81.73474662214561)",4650,Large,232.5,MCR,54,0,0
201,,o202,"(64.31928988420061, -78.57678652571602)",9150,Large,457.5,ISB,0,0,257
3,,o4,"(63.99531963827238, -76.21867695117875)",1090,Small,54.5,MCR,24,0,0
143,,o144,"(68.71480928423397, -108.55260897253204)",4000,Large,200.0,MCR,54,0,0
14,,o15,"(61.23324144502647, -66.39771324484083)",2750,Medium,137.5,ISB,0,0,57
211,,o212,"(62.443606696917364, -111.00252710256193)",5110,Large,255.5,ISB,0,0,257
204,,o205,"(61.295031779690376, -114.58986777481222)",8230,Large,411.5,CDU,0,800,0
11,,o12,"(75.20322914875858, -78.58728931501444)",1240,Small,62.0,MCR,24,0,0
90,,o91,"(61.690864687328215, -64.0055591963873)",7980,Large,399.0,ISB,0,0,257
29,,o30,"(70.20526723210095, -143.45507470347903)",5700,Large,285.0,MCR,54,0,0
68,,o69,"(64.05066024217525, -83.19338002718928)",670,Small,33.5,MCR,24,0,0
147,,o148,"(67.18986663807861, -107.7369304833852)",8640,Large,432.0,ISB,0,0,257
129,,o130,"(69.49515090110985, -93.58442983407755)",3230,Large,161.5,ISB,0,0,257
127,,o128,"(68.92177985598181, -81.01565157444715)",7630,Large,381.5,MCR,54,0,0
110,,o111,"(77.3499153736386, -69.69027455288698)",9950,Large,497.5,CDU,0,800,0
63,,o64,"(62.67141807374207, -91.42074526108482)",5910,Large,295.5,ISB,0,0,257
81,,o82,"(62.76213160269137, -69.9622534121055)",4220,Large,211.0,CDU,0,800,0
104,,o105,"(73.88189194550003, -78.43285281799996)",7320,Large,366.0,MCR,54,0,0
32,,o33,"(70.681140207655, -148.33568343024558)",7700,Large,385.0,MCR,54,0,0
206,,o207,"(61.2787986028355, -114.41660450627202)",6480,Large,324.0,MCR,54,0,0
77,,o78,"(63.44877230291223, -79.56227451700632)",5290,Large,264.5,MCR,54,0,0
169,,o170,"(72.71694003783507, -118.48119587376793)",7940,Large,397.0,MCR,54,0,0
17,,o18,"(68.04341304792781, -114.42352452678259)",550,Small,27.5,ISB,0,0,7
101,,o102,"(73.77195906965841, -83.41024103851763)",3870,Large,193.5,ISB,0,0,257
131,,o132,"(69.1313521168679, -94.73537044677148)",3490,Large,174.5,MCR,54,0,0
182,,o183,"(69.80106747616216, -132.82325328547842)",3510,Large,175.5,MCR,54,0,0
49,,o50,"(72.99092099923107, -74.71753868243371)",5470,Large,273.5,CDU,0,800,0
170,,o171,"(72.38798623909038, -119.11390364620482)",5530,Large,276.5,ISB,0,0,257
207,,o208,"(61.94973840719627, -112.75313636937388)",5420,Large,271.0,ISB,0,0,257
38,,o39,"(71.08940153949655, -121.75580905806285)",6470,Large,323.5,ISB,0,0,257
122,,o123,"(74.44817555033204, -92.63255379086462)",9070,Large,453.5,ISB,0,0,257
158,,o159,"(69.17592919912612, -116.22757658575439)",2510,Medium,125.5,ISB,0,0,57
36,,o37,"(70.920489636791, -124.56449416662973)",5830,Large,291.5,CDU,0,800,0
84,,o85,"(62.628366124753036, -69.90265772988599)",7810,Large,390.5,MCR,54,0,0
74,,o75,"(64.05146245505661, -77.44978608987996)",250,Small,12.5,MCR,24,0,0
25,,o26,"(68.84146485450003, -135.93181928799999)",9500,Large,475.0,CDU,0,800,0
102,,o103,"(73.9533098894819, -84.66397820780995)",2340,Medium,117.0,CDU,0,200,0
97,,o98,"(73.85872545439102, -77.06292927588505)",4820,Large,241.0,MCR,54,0,0
212,,o213,"(62.65633530378757, -111.28199524772351)",9750,Large,487.5,CDU,0,800,0
133,,o134,"(69.40314705680032, -94.05186925426825)",4440,Large,222.0,CDU,0,800,0
13,,o14,"(63.39009733194669, -90.7178077525147)",6490,Large,324.5,ISB,0,0,257
174,,o175,"(69.40719270339133, -123.96592127270287)",7510,Large,375.5,CDU,0,800,0
130,,o131,"(69.31371327858832, -94.53252534894514)",480,Small,24.0,MCR,24,0,0
222,,o223,"(69.16983336558708, -137.1909711618563)",6570,Large,328.5,ISB,0,0,257
173,,o174,"(72.04548849091111, -119.40991256546548)",800,Small,40.0,CDU,0,100,0
138,,o139,"(68.48104166867869, -96.72736543706715)",5970,Large,298.5,MCR,54,0,0
23,,o24,"(71.0263633424708, -127.7679693701022)",5260,Large,263.0,CDU,0,800,0
210,,o211,"(62.374623726294836, -111.61635871906296)",9020,Large,451.0,CDU,0,800,0
52,,o53,"(58.851133884186325, -94.20693472697955)",3200,Large,160.0,ISB,0,0,257
21,,o22,"(67.67039190028026, -134.39853014621025)",2000,Medium,100.0,ISB,0,0,57
209,,o210,"(61.492133060791765, -113.89151294299599)",180,Small,9.0,CDU,0,100,0
108,,o109,"(77.0037458085796, -74.23688601460837)",4050,Large,202.5,CDU,0,800,0
167,,o168,"(70.29243949457306, -120.60523346924136)",1150,Small,57.5,ISB,0,0,7
65,,o66,"(62.621525060942545, -91.40995008573063)",5080,Large,254.0,CDU,0,800,0
115,,o116,"(79.87157046157674, -86.76528365875551)",6720,Large,336.0,MCR,54,0,0
39,,o40,"(71.09250978235556, -120.92531763952243)",6340,Large,317.0,MCR,54,0,0
71,,o72,"(63.316886379044426, -79.96743737291322)",8500,Large,425.0,MCR,54,0,0
200,,o201,"(66.82674006457319, -80.42932645870972)",3140,Large,157.0,CDU,0,800,0
113,,o114,"(79.10568207193272, -85.69568076457762)",5260,Large,263.0,MCR,54,0,0
28,,o29,"(70.09494677297306, -141.87073425638323)",1090,Small,54.5,CDU,0,100,0
214,,o215,"(62.876152621334256, -109.93912844523146)",5690,Large,284.5,CDU,0,800,0
42,,o43,"(70.5897855138361, -120.20613457011686)",5790,Large,289.5,ISB,0,0,257
78,,o79,"(63.42721743087256, -74.94781314446465)",4360,Large,218.0,CDU,0,800,0
217,,o218,"(62.88357719363138, -110.37292789149316)",300,Small,15.0,MCR,24,0,0
150,,o151,"(68.13950209511573, -113.42097605555624)",9740,Large,487.0,MCR,54,0,0
125,,o126,"(69.17440960666154, -81.12327214048015)",270,Small,13.5,CDU,0,100,0
157,,o158,"(69.42589738150005, -117.38345517449997)",7090,Large,354.5,CDU,0,800,0
181,,o182,"(69.59976646457682, -133.1012802600841)",2560,Medium,128.0,CDU,0,200,0
191,,o192,"(68.70553599203063, -134.23381941293684)",6430,Large,321.5,ISB,0,0,257
15,,o16,"(62.00729885632203, -62.82936093819682)",7330,Large,366.5,ISB,0,0,257
197,,o198,"(70.39901825346506, -131.88027587601508)",520,Small,26.0,MCR,24,0,0
162,,o163,"(69.08988419440739, -115.22715167910987)",900,Small,45.0,CDU,0,100,0
19,,o20,"(60.96414683385387, -115.82371672066182)",8170,Large,408.5,MCR,54,0,0
