,Max coverage,Min cost
0,"[1094.6526432550666, 1094.73283250369, 1094.73283250369, 1094.6526432550666, 1032.922350803041, 664.9138426864262]",setA
1,"[968.5136491068355, 968.5136491068355, 966.5595963435434, 950.2382457102912, 811.3114650370997]",setB
2,"[1161.3605822834943, 1161.3605822834943, 792.7867233224715]",setC
3,"[1182.5504533700948, 1182.5504533700948, 806.623428005053]",setD
4,"[982.0892558495606, 982.0892558495606, 974.0337406782577, 895.5994972825256]",setE
5,"[1069.619777083656, 1069.619777083656, 859.9718203789471]",setF
6,"[1139.3840141897601, 1139.3840141897601, 892.7761778041121]",setG
7,"[1090.0336278390985, 1090.0336278390985, 1037.0513220713276, 806.1189476433708, 722.2352637736154]",setH
8,"[1180.5030220661033, 1180.5157819088458, 1180.5157819088458, 814.601128305113]",setI
9,"[1140.839453398466, 1140.839453398466, 360.66295210922027]",setJ
